Student,Subject1,Subject2,Subject3,Subject4,Subject5,Average,Result
Student_1,49.963209507789,96.05714451279329,78.5595153449124,67.89267873576293,32.48149123539492,64.99080786733052,Pass
Student_2,32.47956162689621,24.64668897345596,89.29409166199481,68.0892009394567,76.64580622368364,58.23106988509746,Pass
Student_3,21.646759543664196,97.59278817295954,86.59541126403374,36.987128854262096,34.54599737656805,55.47361704229753,Pass
Student_4,34.6723607882747,44.33937943676302,61.98051453057903,54.55560149136926,43.298331215843355,47.76923749256587,Fail
Student_5,68.94823157779035,31.15950885216335,43.37157188281745,49.308947463495336,56.48559873736288,49.85477170272587,Fail
Student_6,82.81407691144109,35.97390257266878,61.13875507308893,67.39316550896339,23.71603301759982,54.2071866167524,Pass
Student_7,68.60358815211507,33.64192989498332,25.20412743882236,95.91084298026666,97.25056264596475,64.12221022243043,Pass
Student_8,84.67178784931689,44.36910153386965,27.81376912051071,74.73864212097254,55.21219949916811,57.36110002476757,Pass
Student_9,29.763058787582306,59.614152808901615,22.75108168921747,92.74563216630257,40.70239852800135,49.115264796001064,Fail
Student_10,73.00178274831856,44.93688608715288,61.605441694224865,63.73682234746237,34.788356442042165,55.61385786384017,Pass
Student_11,97.56677022116469,82.01062586888916,95.15991532513513,91.5861880342119,67.83199830488681,86.83109955085754,Pass
Student_12,93.74993880184934,27.07940016415356,35.67862899353162,23.618183112843045,46.02642646106115,45.230515506687745,Fail
Student_13,51.09418317515856,41.70792254191167,86.29900073215435,48.540266135487144,42.47476077499046,54.023226671940435,Pass
Student_14,63.41568665265988,31.27393799798101,84.17575846032318,25.964051494381664,98.95095492804138,60.75607790667742,Pass
Student_15,81.77958154373259,35.89725452273379,20.441769369888192,85.23691427638673,76.54858750780937,59.98082144411014,Pass
Student_16,78.32057344327899,81.70162773487566,25.92357213872723,48.67725828354181,29.269524762010377,52.778511272486824,Pass
Student_17,89.04827407004748,69.86385014620464,46.471841988211935,25.084668022881893,44.878585737252976,55.06944399291979,Pass
Student_18,46.014665762139764,78.36849426704512,71.00459770841705,90.97701940610612,57.777194012955945,68.8283942313328,Pass
Student_19,29.567539675064136,77.0595829778396,80.8628038893518,64.9021758055597,81.67737439636488,66.81389534883603,Pass
Student_20,59.50364770915126,61.818626350559526,54.20328146868397,22.033530139527613,28.631314159464356,45.23807996547735,Fail
Student_21,22.51433485493874,70.91283290110243,45.148478486106136,60.685655293176225,92.60531791408744,58.373323889882194,Pass
Student_22,39.94337833191,52.830633842850375,80.4440910834439,38.3038532393298,26.158392786303438,47.5360698567675,Fail
Student_23,43.180116233101444,32.897702980320354,94.37581218740584,84.64963036515336,70.67230052083389,65.15511245736297,Pass
Student_24,89.71684721501742,84.29376615192916,34.925604710882865,91.40471987919823,63.147379353252056,72.69766346205594,Pass
Student_25,84.595212413125,91.68730399387945,45.44027799774911,28.80415396221414,38.234813003355335,57.752352274064606,Pass
Student_26,54.1686230901005,85.44118127379944,88.85844666050747,20.556170442495258,60.85978420620526,61.97684113462158,Pass
Student_27,53.39288025190232,37.76862483765842,29.589229386694626,47.00921371229023,95.43277631300154,52.63854490030942,Pass
Student_28,45.856234561660415,61.50324973946929,76.24151671161422,49.09036819034352,97.74256661767686,66.08678716415287,Pass
Student_29,96.99578359536889,40.14258366602913,59.77988047139084,44.07026478534157,42.78723955019741,56.75515041366557,Pass
Student_30,22.950955788362624,68.76514671839175,60.21432185830892,24.118300099999146,42.29171713892892,43.66808832079827,Fail
Student_31,92.6612708773323,39.16495125335779,31.591589767297847,59.15622082220504,98.85203632884806,64.2852138098082,Pass
Student_32,39.364421720920035,73.77084379247029,80.9295692262974,39.01100351939198,78.25730788894876,62.2666292296057,Pass
Student_33,49.422650617540256,70.58446644748636,70.68237686087159,62.86197472598068,27.223181604352664,56.15493005124631,Pass
Student_34,86.82419964713904,45.66240519773886,34.92148083198834,23.262011324381113,67.27143545505935,51.588306491261335,Pass
Student_35,74.2051489473826,21.32702631422849,60.96744466394248,38.11966201583503,71.61382323275599,53.24662103482891,Pass
Student_36,33.94931432039932,75.27501904819728,50.93882770404299,94.93839909893876,31.00167553167946,57.22064714065156,Pass
Student_37,47.285308084020684,29.077881699247126,93.97548946228503,90.18714827047847,40.63533021721245,60.232231546648755,Pass
Student_38,72.79872368273432,85.37777601609727,64.416064927957,62.37204626848052,39.34818327203614,64.86255883346105,Pass
Student_39,27.44822142447194,91.77726063626613,92.03344457306643,70.64811658186144,47.122383283896056,65.80588529991239,Pass
Student_40,47.93676596901287,78.07645430961915,91.76882079620617,90.96691394120938,82.3900436686099,78.2277997369315,Pass
Student_41,71.36253169234303,26.731197199603905,32.930297127569105,91.88433508216634,68.5143247727672,58.28453717488992,Pass
Student_42,20.73576412933037,28.11772342928257,73.08014152864446,20.404926707697495,32.86464411339989,35.04063998167096,Fail
Student_43,63.89870314932689,75.35161581541546,72.15690076020805,37.941544756844785,76.97433770780287,65.2646204379196,Pass
Student_44,38.97992699974401,46.03197585274142,79.71931240944193,71.97063192377718,87.93787283953424,64.92794400504775,Pass
Student_45,72.60903138402747,65.46468826683773,27.493981426247398,49.41726424475468,41.216189414538036,51.24023094728106,Pass
Student_46,39.51917147032668,97.84084438019565,51.44781797334083,91.36372441416907,70.49109007978103,70.13252966356266,Pass
Student_47,83.58490428333187,60.21096744841537,66.15231077010873,59.401415505509114,35.61943902384356,60.99380740624173,Pass
Student_48,77.79616922092043,42.46178899526846,21.945277314516307,71.63778367257342,34.16885435256391,49.60197471116851,Fail
Student_49,95.23668674823314,96.31428616020699,93.18915121763588,49.61269602043555,21.236529322309394,71.1178698937642,Pass
Student_50,94.26548500701803,54.254731865385146,97.33238552349357,97.08959816714022,88.24075643738881,86.23659140008516,Pass
Student_51,43.55591136556686,50.807818288154024,88.09093372134855,45.35376041250221,33.5594197348874,52.27356870449181,Pass
Student_52,64.54410099666802,94.89238193286248,75.68238373399784,65.6048936071492,27.77411950166148,65.6995759544678,Pass
Student_53,69.20057813593358,99.20430800834106,31.20672121892192,61.46637218909894,90.18984575423643,70.25356506130639,Pass
Student_54,79.26148942033635,75.76125927962144,76.19872671896874,48.75929209758041,43.487347541159465,64.69362301153328,Pass
Student_55,84.74889243828109,84.80907157433447,89.3657854864083,93.05924420451771,60.90739190887503,82.57807712248332,Pass
Student_56,60.12130357497597,83.86361431734201,71.99711446222122,76.15735018061628,83.66341355488808,75.16055921800871,Pass
Student_57,91.2004273454053,47.03961254812286,50.04663621119552,27.51855518726952,66.26241127969392,56.413528514337415,Pass
Student_58,22.875381903739367,57.24784145059681,63.411570776606126,42.92330017026275,67.26666084552086,50.74495102934518,Pass
Student_59,22.440019995123954,22.987855099937153,85.80804485277267,48.81525131290103,30.16484101215078,42.04320245457713,Fail
Student_60,61.77946080438435,81.59948424788887,37.26568219974745,69.83123806552001,26.82779719950144,55.46073250340843,Pass
Student_61,24.134537693488618,62.50837052545184,63.25080972880852,70.99439211985653,78.08730669781292,59.79508335308369,Pass
Student_62,98.06816635700277,61.30402786409562,45.836517835299674,83.61489558149628,41.66658010096594,66.09803754777207,Pass
Student_63,55.11771365645089,26.276510507381275,22.028059473236603,97.01187317423401,86.87840964097647,57.46251329045585,Pass
Student_64,75.67793648749584,52.71623555314159,33.86354560566766,32.514963413686885,40.019431853167625,46.958422582631925,Fail
Student_65,63.938133176489636,77.16767381600499,72.8157901374185,42.39471175567543,96.38922245305552,70.54110626772882,Pass
Student_66,79.03175333566148,64.34832420091206,68.93765969874818,53.568004994223195,39.81847916009259,61.1408442779275,Pass
Student_67,48.47781429210093,80.62768883714952,21.15147909038047,29.2858112405533,23.68021136174022,40.644600964384885,Fail
Student_68,23.25830418551761,88.43684672088058,76.29262875040189,57.93390632698602,27.82673285208012,54.749683767173245,Pass
Student_69,59.32927000934659,57.87774166244525,33.856149592801216,54.70813193903784,51.88037875178988,51.530334391084146,Pass
Student_70,69.26800784417732,70.8074920694115,23.62432078176356,49.9690091701177,70.0687932571389,56.7475246245218,Pass
Student_71,60.250900686407014,88.51918729506578,72.69549052951561,33.034754166514375,25.645499792034386,56.029166493907425,Pass
Student_72,71.39354225650524,22.120904843329747,66.86204650187706,95.2184193139966,66.03793423007032,64.3265694291558,Pass
Student_73,51.05359409652175,71.46305747538825,56.660231239321334,63.6493431452748,95.317184702122,67.62868213172563,Pass
Student_74,50.88821102406194,96.89524510591313,92.4280513564851,35.663290783143715,25.548904070013236,60.28474046792343,Pass
Student_75,28.062240110194132,21.45774605212398,27.555436860474273,74.64054187330855,25.695091876818317,35.48221135458385,Fail
Student_76,45.5180504235009,87.59002487755636,21.86175485886607,85.15747860711487,42.548381981872,56.53513814978204,Pass
Student_77,29.4531862097325,75.73897322913206,70.31542774239071,90.19776108216423,78.80568350431086,68.90220635354608,Pass
Student_78,84.27847443078788,42.562765805704515,34.195163502377824,80.04918013126867,84.54677914138112,65.126472602304,Pass
Student_79,99.24041136005387,53.00941415291412,49.761446863422655,82.11303685935974,47.264283220241424,66.27771849119836,Pass
Student_80,94.46058604828518,88.67302014744095,54.319522190001464,80.06968542331978,80.36342992677459,79.5772487471644,Pass
Student_81,28.24990950687461,92.20423253436533,60.42018979582857,86.11659728861933,45.603968082448944,62.51897944162736,Pass
Student_82,91.64185827969604,51.13613429873305,20.86701211842387,92.4305581135411,27.302934142890685,56.67569939065695,Pass
Student_83,45.54509100723319,96.0049573640644,96.04857175500449,65.87503104986288,70.54697697358394,74.80412562994977,Pass
Student_84,55.87564175826558,43.456861735845166,46.29316362959328,73.80147648616307,80.1899623550144,59.9234211929763,Pass
Student_85,83.32632349806788,83.16945142356431,27.29648824389523,59.553624376206514,24.604700801331543,55.5901176686131,Pass
Student_86,63.96231058589884,55.32244010987016,91.01633462066398,48.07320100416629,29.36536131420847,57.547929526961546,Pass
Student_87,31.43933456422687,80.92085053739778,69.45744506530089,28.08981408982322,26.728544489199795,47.327197749189715,Fail
Student_88,76.0775305167296,25.821040509135482,85.7488047432285,76.4993781725197,26.50790245135198,58.13093127859305,Pass
Student_89,26.787017126815353,98.93116628009403,49.941663660489624,49.65137176535127,85.0239653806002,62.0670368426701,Pass
Student_90,95.7798861907087,98.88008510582966,80.27025482071534,50.10076684247326,26.6800573358935,70.34221005912408,Pass
Student_91,82.17175327419494,64.6723399788644,53.937760739758104,92.50835080757888,28.895798584492105,64.4372006769777,Pass
Student_92,59.41000834326873,20.908291581393527,57.4928513595301,24.504262054546988,29.505433301445755,38.36416932803702,Fail
Student_93,29.40209974216839,71.93682416928509,79.68359034123387,66.66950120777277,96.97380387796335,68.9331638676847,Pass
Student_94,49.98964636189633,42.85696690254886,89.48793025515683,37.88766708155621,97.0578031552489,63.456002751281424,Pass
Student_95,20.972357975185307,97.59030613661112,23.45279295604609,91.29144909584569,62.21608872690399,59.10459897811844,Pass
Student_96,99.43718368954403,25.90372517883191,64.30834275210566,97.54420284952792,61.847827533611905,69.80825640072429,Pass
Student_97,70.351891050821,75.65989511876937,56.36328518142186,70.20464640672508,66.74514495384801,67.86497254231708,Pass
Student_98,92.09264083927911,23.63571042731663,42.477055167378424,96.0329187261247,91.2211027112733,69.09188557427444,Pass
Student_99,56.45254022285704,69.61060782412294,42.19049463849061,35.0496927779009,57.09587239519857,52.07984157171402,Pass
Student_100,48.268178242084225,66.69248894806977,26.218770957198785,97.95158461329332,98.89685955836823,67.60557646380286,Pass
